Ventas online,grpsTV,Radio,Prensa,grpsTVComp,SEM,Mkdirecto,mailing1,mailing2,mailing3,mailing4
"2,982",177,0,"2,477","2,599","23,881","6,334",0,0,0,0
"3,046",229,0,"2,434","2,589","23,291","2,534",0,0,0,0
"3,924",324,0,0,"2,883","25,845","35,991",0,0,0,0
"3,446",270,0,0,"3,164","26,122","14,396",0,0,0,0
"3,279",272,0,0,"3,549","24,803","5,758",0,0,0,0
"3,290",263,"29,166",0,"3,296","33,992","2,303",0,0,0,0
"3,647",285,"33,300",0,"3,037","14,473","33,066",0,0,0,0
"3,507",246,"49,437",0,"2,910","24,974","13,227",0,0,0,0
"3,740",282,"40,186",0,"2,861","26,250","5,291",0,0,"250,971",0
"3,907",316,"8,037",0,"2,498","27,098","2,116",0,0,"100,388",0
"3,311",264,"1,607",0,"2,113","24,290",846,0,0,"40,155",0
"3,045",208,0,0,"2,052","22,795","37,166",0,0,"16,062",0
"2,660",193,0,0,"1,976","20,164","14,866",0,0,"6,425",0
"2,542",195,0,0,"2,033","19,579","5,946",0,0,"2,570",0
"2,649",161,0,0,"1,923","21,026","2,379",0,0,"1,028",0
"2,903",137,0,0,"1,922","25,567","33,739",0,0,411,0
"3,186",138,0,0,"1,636","26,260","13,496",0,0,0,0
"3,074",127,0,0,"1,545","26,997","5,398",0,0,0,0
"2,997",139,0,0,"1,800","26,053","2,159",0,0,0,0
"2,957",145,0,0,"1,925","27,149","54,910",0,0,0,0
"3,162",183,0,0,"2,699","27,209","21,964",0,0,0,0
"3,036",220,0,0,"3,003","24,827","8,786",0,0,0,0
"3,703",215,"70,760",0,"3,444","29,309","3,514",0,0,0,0
"3,540",243,"81,746",0,"2,834","28,609","1,406",0,0,0,0
"3,236",186,"73,186",0,"2,426","26,328","53,722",0,0,0,0
"2,885",189,"14,637",0,"2,881","23,478","21,489",0,0,0,0
"2,718",198,"2,927",0,"3,150","19,582","8,596",0,0,0,0
"2,643",193,585,0,"2,644","21,476","3,438",0,0,0,0
"2,684",175,117,0,"1,360","11,575","34,694",0,0,0,0
