Ventas,grpsTV,Radio,Prensa,grpsTVComp,SEM,Mkdirecto,mailing1,mailing2,mailing3,mailing4
2041,50,0,0,2803,21057,4196,0,0,0,0
1985,20,0,0,2655,21635,1678,0,0,0,0
2594,87,9616,348,3363,20704,25032,0,0,0,0
3887,272,37176,418,3892,20947,10013,0,0,0,170000
2926,272,36505,432,3399,18384,4005,0,0,0,68000
2806,232,39590,434,3517,18370,1602,0,0,0,27200
1423,177,17576,435,2123,9596,641,0,0,0,10880
2136,71,3515,957,1948,21032,25256,0,0,0,4352
2153,28,0,1061,2069,16667,10103,0,0,0,1741
1736,11,0,1082,2026,15024,4041,0,0,0,696
1598,5,0,1086,2006,13742,1616,0,0,0,279
1454,2,0,0,2077,14746,25360,0,0,0,111
2482,189,0,0,2077,15892,10144,0,0,0,0
1489,76,0,0,1900,14434,4058,0,0,0,0
2325,179,0,0,2036,19208,1623,0,0,0,0
2257,231,0,0,1187,11602,25690,0,0,0,0
2731,314,0,0,2069,18859,10276,0,0,0,0
2193,318,0,0,2216,17007,4110,0,0,0,0
2187,370,0,0,1854,15851,1644,0,0,0,0
1568,173,0,0,2097,10696,658,0,0,0,0
1649,69,0,0,2295,25323,24933,0,0,0,0
1935,199,0,0,2408,19664,9973,0,0,0,0
1753,202,0,0,2386,21404,3989,0,0,0,0
1884,232,0,0,2142,22169,1596,0,0,0,0
1254,93,0,0,1749,19505,25240,0,0,0,0
1062,37,0,0,1452,18894,10096,0,0,0,0
1270,121,0,0,1356,16822,4038,0,0,0,0
1413,157,0,0,1045,26514,1615,0,0,0,0
1403,141,0,1791,966,10957,25131,0,0,0,0
1764,56,42723,2149,1003,17770,10052,0,0,0,0
1892,103,46836,2221,918,18027,4021,0,0,0,0
2095,156,9367,2235,1016,18073,1608,0,0,0,0
1878,152,1873,2238,1114,14137,643,0,0,0,0
2076,198,0,0,1251,24217,25257,0,0,0,0
1673,128,0,0,1210,17507,10103,0,0,0,0
2164,234,0,0,1220,19400,4041,0,0,0,0
2655,345,65082,0,1335,21382,1616,0,0,0,0
1728,179,64148,326,1238,18273,25647,0,0,0,0
2316,213,12830,390,1341,20941,10259,0,0,0,0
2389,219,11742,403,1310,19784,4103,0,0,0,0
2321,215,8050,406,1239,29093,1641,0,0,0,0
2272,261,1610,0,1029,11320,25657,0,0,0,0
1228,130,0,0,688,15702,10263,0,0,0,0
1871,153,0,0,601,18489,4105,0,0,0,0
1198,61,0,0,312,14573,1642,0,0,0,0
1261,24,0,0,374,10855,657,0,0,0,0
1349,10,0,0,461,20304,263,0,0,0,0
2457,135,0,0,968,24599,105,0,0,0,0
2288,186,0,0,1291,23770,0,0,0,0,0
2185,197,0,0,1588,30721,0,0,0,0,0
2124,223,0,0,2327,17797,0,0,0,0,0
2330,225,0,0,2849,24941,0,0,0,0,0
2126,212,0,0,2865,25627,0,0,0,0,0
2496,210,0,0,2765,31728,0,0,0,0,0
2285,217,32500,0,2224,19687,0,0,0,0,0
1701,87,39000,0,2827,26925,0,0,0,0,0
2487,213,40300,0,2713,23714,0,0,0,0,0
2566,251,40560,0,2994,22498,0,0,0,0,0
